Employee ID,StartDate,start_date_parsed,years_of_service,tenure_group,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,dob_parsed,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,engagement_level,Satisfaction Score,Work-Life Balance Score,Training Date,training_date_parsed,Training Program Name,Training Type,Training Outcome,training_success,Training Duration(Days),Training Cost,Age,age_group,flag_under18_at_hire,flag_training_before_hire
3427,20-Sep-19,2019-09-20,6,5-9 yrs,Production Technician I,CCDR,Active,Contract,ZONE C,Temporary,Production,Finance & Accounting,07-10-1969,1969-10-07,MA,Female,White,Widowed,Fully meets,4,14-01-2023,1,Low,2,3,15-Jul-23,2023-07-15,Leadership Development,Internal,Failed,0,2,606.11,50,50-59,0,0
3428,11-Feb-23,2023-02-11,3,2-4 yrs,Production Technician I,EW,Active,Contract,ZONE A,Part-Time,Production,Aerial,30-08-1965,1965-08-30,MA,Male,Hispanic,Widowed,Fully meets,3,09-09-2022,2,Low,1,5,12-Sep-22,2022-09-12,Customer Service,External,Incomplete,0,4,673.02,58,50-59,0,1
3429,10-Dec-18,2018-12-10,7,5-9 yrs,Area Sales Manager,PL,Active,Full-Time,ZONE B,Part-Time,Sales,General - Sga,06-10-1991,1991-10-06,MA,Male,Hispanic,Widowed,Fully meets,4,27-05-2023,1,Low,2,1,13-Aug-22,2022-08-13,Leadership Development,External,Failed,0,2,413.28,27,Under 30,0,0
3430,21-Jun-21,2021-06-21,4,2-4 yrs,Area Sales Manager,CCDR,Active,Contract,ZONE A,Full-Time,Sales,Finance & Accounting,04-04-1998,1998-04-04,ND,Male,Other,Single,Fully meets,2,16-06-2023,5,High,5,4,15-Dec-22,2022-12-15,Project Management,External,Completed,1,3,663.78,23,Under 30,0,0
3431,29-Jun-19,2019-06-29,6,5-9 yrs,Area Sales Manager,TNS,Active,Contract,ZONE A,Temporary,Sales,General - Con,29-08-1969,1969-08-29,FL,Female,Other,Married,Fully meets,3,25-11-2022,2,Low,5,3,13-Jul-23,2023-07-13,Technical Skills,External,Failed,0,5,399.03,50,50-59,0,0
3434,06-Nov-20,2020-11-06,5,5-9 yrs,Area Sales Manager,CCDR,Active,Contract,ZONE C,Full-Time,Sales,Engineers,07-03-1957,1957-03-07,OR,Female,White,Divorced,Fully meets,2,21-04-2023,1,Low,4,2,07-Oct-22,2022-10-07,Leadership Development,Internal,Passed,1,3,790.15,63,60+,0,0
3435,18-Aug-18,2018-08-18,7,5-9 yrs,Area Sales Manager,NEL,Active,Contract,ZONE B,Part-Time,Sales,Executive,15-05-1974,1974-05-15,TX,Male,Black,Widowed,Exceeds,3,09-12-2022,4,High,3,3,19-Jul-23,2023-07-19,Customer Service,Internal,Passed,1,3,798.4,44,40-49,0,0
3437,04-Aug-23,2023-08-04,2,2-4 yrs,Area Sales Manager,SVG,Active,Contract,ZONE B,Temporary,Sales,Field Operations,26-01-1964,1964-01-26,IN,Female,Other,Single,Fully meets,5,15-10-2022,3,Medium,2,5,20-Oct-22,2022-10-20,Technical Skills,Internal,Failed,0,1,455.68,59,50-59,0,1
3439,25-May-22,2022-05-25,4,2-4 yrs,Area Sales Manager,EW,Active,Full-Time,ZONE A,Temporary,Sales,Splicing,24-11-1981,1981-11-24,CO,Male,Other,Single,Fully meets,3,30-10-2022,1,Low,2,5,09-Mar-23,2023-03-09,Technical Skills,External,Incomplete,0,1,421.07,41,40-49,0,0
3440,05-Dec-19,2019-12-05,6,5-9 yrs,Area Sales Manager,CCDR,Active,Contract,ZONE A,Full-Time,Sales,Finance & Accounting,06-11-1951,1951-11-06,KY,Female,White,Divorced,Fully meets,3,24-09-2022,1,Low,4,5,29-May-23,2023-05-29,Communication Skills,External,Failed,0,1,649.03,68,60+,0,0
3441,28-Apr-19,2019-04-28,7,5-9 yrs,Area Sales Manager,BPC,Active,Part-Time,ZONE A,Part-Time,Sales,General - Con,21-11-1989,1989-11-21,NV,Male,Asian,Widowed,Exceeds,4,30-10-2022,4,High,2,5,08-Jan-23,2023-01-08,Project Management,Internal,Passed,1,4,450.2,30,30-39,0,0
3442,09-Jul-19,2019-07-09,6,5-9 yrs,Area Sales Manager,PYZ,Active,Full-Time,ZONE A,Full-Time,It/is,Field Operations,24-11-1952,1952-11-24,MA,Male,Black,Single,Exceeds,2,31-10-2022,2,Low,5,3,06-Mar-23,2023-03-06,Project Management,External,Failed,0,4,286.87,67,60+,0,0
3443,05-Apr-21,2021-04-05,5,5-9 yrs,Area Sales Manager,WBL,Active,Full-Time,ZONE C,Part-Time,It/is,Project Management - Con,08-04-1994,1994-04-08,KY,Male,Asian,Widowed,Fully meets,3,29-04-2023,2,Low,2,4,18-Feb-23,2023-02-18,Technical Skills,External,Failed,0,3,402.13,27,Under 30,0,0
3444,28-Nov-21,2021-11-28,4,2-4 yrs,Area Sales Manager,NEL,Active,Contract,ZONE A,Part-Time,Sales,Engineers,15-11-1983,1983-11-15,KY,Male,Other,Widowed,Fully meets,3,14-12-2022,1,Low,2,4,02-Nov-22,2022-11-02,Technical Skills,External,Failed,0,2,388.84,38,30-39,0,0
3445,16-Jan-21,2021-01-16,5,5-9 yrs,Area Sales Manager,PL,Active,Contract,ZONE C,Full-Time,Sales,Project Management - Con,07-12-1985,1985-12-07,KY,Female,Other,Married,Exceeds,4,07-05-2023,4,High,5,2,14-Jul-23,2023-07-14,Project Management,External,Completed,1,2,879.64,36,30-39,0,0
3446,24-Aug-21,2021-08-24,4,2-4 yrs,Area Sales Manager,BPC,Active,Part-Time,ZONE A,Part-Time,Sales,Field Operations,01-05-1996,1996-05-01,TX,Female,White,Divorced,Exceeds,2,21-05-2023,4,High,3,5,11-Dec-22,2022-12-11,Technical Skills,Internal,Failed,0,5,701.13,25,Under 30,0,0
3450,01-Sep-20,2020-09-01,5,5-9 yrs,Area Sales Manager,MSC,Active,Contract,ZONE C,Temporary,Sales,Field Operations,11-08-1994,1994-08-11,CO,Male,Other,Single,Exceeds,2,18-01-2023,4,High,3,5,12-Jan-23,2023-01-12,Technical Skills,Internal,Completed,1,4,186.07,26,Under 30,0,0
3451,18-Feb-21,2021-02-18,5,5-9 yrs,Area Sales Manager,TNS,Active,Contract,ZONE C,Full-Time,Sales,General - Con,15-01-1968,1968-01-15,CO,Male,Other,Divorced,Exceeds,3,29-04-2023,5,High,1,2,22-Mar-23,2023-03-22,Technical Skills,External,Completed,1,1,921.97,53,50-59,0,0
3453,13-Oct-22,2022-10-13,3,2-4 yrs,Area Sales Manager,WBL,Active,Contract,ZONE C,Part-Time,Sales,Fielders,07-04-1982,1982-04-07,MA,Male,White,Widowed,Fully meets,4,17-09-2022,5,High,5,3,25-Aug-22,2022-08-25,Customer Service,External,Completed,1,5,964.44,40,40-49,0,1
3454,11-Sep-22,2022-09-11,3,2-4 yrs,Area Sales Manager,PYZ,Active,Full-Time,ZONE C,Full-Time,It/is,General - Con,29-01-1970,1970-01-29,KY,Male,Hispanic,Married,Needs improvement,4,14-03-2023,4,High,4,2,07-Feb-23,2023-02-07,Communication Skills,Internal,Passed,1,3,184.9,52,50-59,0,0
3455,29-Jun-21,2021-06-29,4,2-4 yrs,Area Sales Manager,WBL,Active,Full-Time,ZONE C,Temporary,Sales,Project Management - Eng,18-01-1999,1999-01-18,KY,Male,Other,Widowed,Exceeds,4,12-08-2022,2,Low,1,1,17-Mar-23,2023-03-17,Project Management,External,Passed,1,1,220.41,22,Under 30,0,0
3463,30-Apr-20,2020-04-30,6,5-9 yrs,Area Sales Manager,TNS,Active,Part-Time,ZONE A,Temporary,Sales,Field Operations,21-06-1951,1951-06-21,IN,Male,Hispanic,Single,Fully meets,1,18-09-2022,4,High,3,4,29-Aug-22,2022-08-29,Technical Skills,Internal,Incomplete,0,4,926.19,69,60+,0,0
3464,03-Dec-18,2018-12-03,7,5-9 yrs,Area Sales Manager,PYZ,Active,Contract,ZONE B,Full-Time,Sales,Shop (Fleet),17-06-1998,1998-06-17,MA,Male,Black,Widowed,Needs improvement,5,29-12-2022,2,Low,5,3,13-Nov-22,2022-11-13,Customer Service,External,Passed,1,2,290.47,20,Under 30,0,0
3465,08-Nov-21,2021-11-08,4,2-4 yrs,Area Sales Manager,WBL,Active,Full-Time,ZONE B,Full-Time,Sales,General - Con,07-01-1962,1962-01-07,MA,Male,Asian,Divorced,Needs improvement,3,19-05-2023,5,High,4,3,04-Jun-23,2023-06-04,Communication Skills,External,Incomplete,0,1,706.1,59,50-59,0,0
